iteration,traintTime,trainmAP,trainAUC,trainCallbackTime,testmAP,testAUC,testCallbackTime,None
0,0.09606528282165527,0.005210489467091729,0.5008113662735945,17.90241575241089,0.00566597972914411,0.4977948857936724,15.118160009384155,
1000,60.377113580703735,0.11793879484759558,0.8451830260477144,15.80495548248291,0.12030314136460246,0.8339074182730342,15.005839586257935,
2000,60.90983438491821,0.18715387377785012,0.9128876818621651,15.88441014289856,0.18254809088026472,0.9022768237714945,14.86843729019165,
3000,60.467658281326294,0.22568969483858764,0.9372175982376759,15.777060270309448,0.2145682403550056,0.9278134204729336,14.897181510925293,
4000,60.69265007972717,0.25007640417645977,0.946765288072582,15.910972595214844,0.23394707813762536,0.9384033432067903,14.971011638641357,
5000,60.548370361328125,0.2672545387986831,0.9527702559781782,15.85998821258545,0.24737764291693687,0.9447077813745808,14.862550258636475,
6000,60.53334951400757,0.28060316734801394,0.9562498975618215,15.915695190429688,0.2589133808252235,0.9483268082541152,14.850431203842163,
7000,60.38551044464111,0.29036622685277946,0.9591067864844244,15.874933242797852,0.2680518990127871,0.9516237871465532,14.947279453277588,
8000,60.924349308013916,0.29960999804944466,0.9606892512555496,16.1105854511261,0.27475791102571717,0.9528832928367544,14.908387422561646,
9000,60.3761785030365,0.3067948525825127,0.9621554304903004,15.980991840362549,0.2785805200998696,0.9541206129141222,14.986033916473389,
10000,60.86360788345337,0.31220657491124465,0.9634295962621151,16.060476303100586,0.2839428476954524,0.9553615024793449,15.066573858261108,
11000,60.647910594940186,0.31836229354593193,0.96509219611487,15.961552143096924,0.28818809552738756,0.9566081448599909,15.027479410171509,
12000,60.883325815200806,0.3233142062227974,0.9662563125560428,16.058019161224365,0.2919052860339344,0.957681338201748,15.051274061203003,
13000,60.5172119140625,0.3248711521277913,0.9665337129967121,15.983170986175537,0.2915053610390366,0.9576457165130489,15.032565832138062,
14000,60.82610607147217,0.33022065534084005,0.9671368908690905,16.07726502418518,0.29552375182207236,0.9581532111146013,15.040441989898682,
15000,60.455188035964966,0.33488118175099973,0.9683088872492842,16.032304286956787,0.2981936781510453,0.9590431373600005,15.03198504447937,
16000,60.85021710395813,0.3363651699382473,0.9684628790142009,16.194613456726074,0.2995900678031577,0.9594407330731939,15.066482305526733,
17000,60.6597580909729,0.3385857180218366,0.9689844162884484,15.879905939102173,0.30142486901316834,0.959875124309053,14.766744613647461,
18000,61.20768761634827,0.34075327855606213,0.9694913522621332,15.941514730453491,0.30191194735083543,0.9600827922539892,14.929241180419922,
19000,60.90401816368103,0.3439929982987317,0.9704539013624702,15.800005912780762,0.30522895048582116,0.9607591525520366,14.881749629974365,
20000,63.04185724258423,0.3462833453139338,0.9702454208842037,15.772428750991821,0.3045176887684562,0.960318655622097,14.730518341064453,
21000,61.148070096969604,0.34854073433578814,0.9704972717414264,15.828142404556274,0.30555235413497117,0.9608087147620067,14.904464483261108,
22000,60.802796363830566,0.35128240411164924,0.9708525237193762,15.939373970031738,0.3072578666671533,0.9610979086176487,14.93515658378601,
23000,62.76500105857849,0.3531605083804943,0.9710763040680288,15.61034345626831,0.3074421373490165,0.9609201955130972,14.660042762756348,
24000,60.67152667045593,0.355864974773639,0.9718505167675866,15.742663145065308,0.3091813966611311,0.961583506128115,14.617095470428467,
25000,60.52095937728882,0.3555691051982983,0.9715735804524478,15.575666904449463,0.30955479112427525,0.9613784180042378,14.603504657745361,
26000,60.70094633102417,0.3585278220407105,0.972162985610959,15.763425350189209,0.31143045720092705,0.9618034494525327,14.720803260803223,
27000,60.427974224090576,0.3593260788987592,0.9720842038934208,15.719032287597656,0.31119670583274917,0.9614468819206127,14.662263631820679,
28000,60.6418023109436,0.3633119212065904,0.9727706758681198,15.896962404251099,0.3140859465060275,0.9621944503049363,14.786982297897339,
29000,60.291255235672,0.3636894224481039,0.9728345582289838,15.771257877349854,0.313252365540902,0.9621372535498917,14.78471302986145,
30000,60.531254291534424,0.36412982033983216,0.972997066705588,15.78137993812561,0.3124498194146347,0.9621199551949765,14.799117803573608,
31000,60.07604265213013,0.36640009153171194,0.9732380671254027,15.851762056350708,0.3145247456321001,0.9625018442667915,14.853133916854858,
32000,60.4521427154541,0.3685099039079862,0.9736194834278267,15.953453779220581,0.31522471364568355,0.9625153359437801,14.728475332260132,
33000,60.1404345035553,0.3702482576263117,0.9736522089164592,15.82974123954773,0.31635778295658296,0.9623725654144677,14.899765491485596,
34000,60.37875938415527,0.3723056524371307,0.9740686060744298,15.981738328933716,0.3165663391203662,0.9628355999796079,14.790572166442871,
35000,60.155680418014526,0.3734332176518437,0.9740087946541347,15.600214958190918,0.31662127176635174,0.9627750671559062,14.593855142593384,
