iteration,traintTime,trainmAP,trainAUC,trainCallbackTime,testmAP,testAUC,testCallbackTime,None
0,23.638468027114868,0.005306926209241231,0.5037586260321233,20.236022233963013,0.005772747455960142,0.5031533379839399,14.4969003200531,
1000,118.79576468467712,0.29648860167182545,0.9627023891808169,16.263444900512695,0.27440236146106683,0.9548104266118185,14.320388793945312,
2000,116.45399928092957,0.33425405630361704,0.9693648268681895,16.395745038986206,0.30214412300492394,0.9607885081349522,14.33742618560791,
3000,115.59393692016602,0.3572540317362177,0.9723899360162793,16.179445028305054,0.31518054488910396,0.9630880504774476,14.298914909362793,
4000,115.98606753349304,0.3724410803317666,0.9741642003922727,16.113605499267578,0.3236494133125992,0.9643572632451765,14.303608655929565,
5000,115.634202003479,0.3841683599734166,0.9757737735970574,16.12309765815735,0.327612171388767,0.9651951982452971,14.305094480514526,
6000,115.93640303611755,0.3950654015758115,0.9769007910106305,16.279035091400146,0.33315078544516163,0.9660010213265405,14.335822105407715,
7000,115.63067984580994,0.4049525144029006,0.978049821401732,16.149611711502075,0.33607644693688976,0.9664563582212747,14.263396501541138,
8000,115.95096325874329,0.4115835050674419,0.9787325652293097,16.408325910568237,0.33862082438647656,0.9667262551263757,14.393779516220093,
9000,115.42225170135498,0.42070535524306324,0.9795296482171725,16.173400402069092,0.34127163403449184,0.9669970138190193,14.33329725265503,
10000,115.7585780620575,0.42832178414899763,0.9800717595399772,16.336450338363647,0.3418094463273842,0.9669208401987258,14.360460996627808,
11000,115.41683077812195,0.4335073782005729,0.9804511755628791,16.218694925308228,0.3443061321921936,0.9672944134524891,14.379936933517456,
12000,115.86453676223755,0.43849934455776113,0.9810033176258818,16.33870267868042,0.34437050273090153,0.9672504998970176,14.391358613967896,
13000,115.45942401885986,0.44390233067876195,0.9814322284493848,16.198984146118164,0.3445865197684283,0.9674653803433325,14.37085747718811,
14000,115.9061689376831,0.44889886728061307,0.9817245141520512,16.32072615623474,0.3462601407034451,0.9671915123153796,14.40227746963501,
15000,115.55101776123047,0.4534442136480213,0.9819582458788929,16.245681047439575,0.3465019009241825,0.9672233503957375,14.352312564849854,
16000,115.76543498039246,0.4585795861479109,0.9822997910789968,16.37562322616577,0.34909110279944083,0.9674417739428853,14.392723560333252,
17000,115.54213500022888,0.46164658833881056,0.9826554519252518,16.3038809299469,0.34955418642339253,0.9675260525416483,14.422168731689453,
18000,115.80168843269348,0.46551046192016066,0.9828514498046608,16.082067012786865,0.34933721906796705,0.9675345124693648,14.15329647064209,
19000,115.3893551826477,0.4701020302060353,0.9831342072344139,15.831392526626587,0.3503937053514426,0.9676099848363603,14.189234256744385,
20000,115.69593095779419,0.47333480413705475,0.9832968131518899,15.965622425079346,0.35058907186457816,0.9675206982875816,14.20039987564087,
21000,115.39121866226196,0.4752777707361431,0.983539683164939,15.860596418380737,0.3522429037812914,0.967529029601738,14.241095304489136,
22000,115.70853352546692,0.47792972567069913,0.9837005835561162,16.002643585205078,0.35210822028315364,0.9676213115156471,14.211085081100464,
23000,115.24575972557068,0.48129569698006336,0.9839449921671741,15.931914806365967,0.35194722615426505,0.967514510197315,14.195716142654419,
24000,115.59320116043091,0.4838014668531448,0.984074721827472,16.0457603931427,0.3518600826716524,0.967475794142007,14.214093208312988,
25000,115.18843507766724,0.48730009614876046,0.9842386007100976,15.840354204177856,0.35293090781593167,0.9675615313659979,14.25056505203247,
