iteration,traintTime,trainmAP,trainAUC,trainCallbackTime,testmAP,testAUC,testCallbackTime,None
0,0.11276078224182129,0.005494063555160034,0.49206418205667146,19.501020431518555,0.005719515403883651,0.49122165279773716,14.791484355926514,
1000,79.48156762123108,0.20533869987668252,0.921824544036065,15.523311138153076,0.199507769008226,0.9115641338637863,14.398259401321411,
2000,77.13556003570557,0.23258232436233225,0.9412017878156343,15.289198875427246,0.22288530839352974,0.9329273264449476,14.152340173721313,
3000,76.73301458358765,0.24526238694007985,0.9487480787514788,15.199696779251099,0.2338658077797347,0.9405274000076186,14.202714204788208,
4000,76.95504903793335,0.2538993483223436,0.9510793807788919,15.300524711608887,0.2405714636346145,0.9428814179581905,14.105997085571289,
5000,76.77972936630249,0.257788620712679,0.9530869637957662,15.134202718734741,0.2432591858928003,0.9449721432654506,14.115965604782104,
6000,76.8814697265625,0.2656560672249725,0.9552703948058271,15.279422998428345,0.25122573117366925,0.9471330404620483,14.235729455947876,
7000,76.7299861907959,0.26696062739718424,0.9563158958355463,15.123593807220459,0.25205590938085853,0.9483675162750723,14.03434157371521,
8000,76.835613489151,0.2706468116353989,0.9572657581918886,14.746500968933105,0.25440129781532445,0.9491660254058181,13.728857517242432,
9000,76.44107627868652,0.2731532982967476,0.9577531778004674,14.701355695724487,0.25591416214010815,0.9495039800972411,13.795746803283691,
10000,76.63250756263733,0.2777478007629744,0.958842278639909,14.860936164855957,0.25972091184751234,0.9503874774762688,13.738426923751831,
11000,75.96525263786316,0.27856336157024975,0.9597638385067605,14.45208740234375,0.2600453819339269,0.95098745469762,13.532244682312012,
12000,76.57461619377136,0.28186939112546283,0.9608473360337734,14.870421409606934,0.26325595429065446,0.9521564358829451,13.766954898834229,
13000,76.53551030158997,0.28307777044496585,0.9611032017926484,14.757906913757324,0.2629739147269596,0.9524428829111637,13.803033590316772,
14000,76.6063928604126,0.2839966879454764,0.9609818026778083,14.77368950843811,0.26398580318955106,0.9520792432670621,13.81403112411499,
15000,76.39780235290527,0.2863961539589043,0.9622964570925807,14.703258275985718,0.2659883579445989,0.9533776755270365,13.758906364440918,
16000,76.62296509742737,0.2871458465309168,0.9625764413841973,14.74880313873291,0.2665132490131617,0.9534915932528086,13.793768167495728,
17000,76.38845348358154,0.2887934971142393,0.9627108883504175,14.846481561660767,0.2670182971780087,0.953570504518889,13.849384307861328,
18000,76.50559520721436,0.2899533950048013,0.9628474860841211,14.878893375396729,0.26836272425182567,0.953495132561122,13.808717966079712,
19000,76.400794506073,0.2905072635318414,0.9636637982210883,14.846858263015747,0.2685173521379372,0.9542049007551374,13.840752124786377,
20000,76.57137966156006,0.29180131779332064,0.9635445668075003,14.801837682723999,0.268962027069452,0.9539876020825797,13.634947299957275,
21000,75.81405878067017,0.2921394782663376,0.9635736568541796,14.527514219284058,0.26945326150078,0.9541400414967794,13.619304418563843,
22000,76.01159334182739,0.2927175939202074,0.9637246914624954,14.798614501953125,0.2701853202409214,0.9543672135525013,13.86330270767212,
23000,76.35304570198059,0.2946245451155565,0.9641670126751761,14.81902813911438,0.2711193369476001,0.9545929700691868,13.85716199874878,
24000,76.50402808189392,0.2949639273270924,0.9643076113106905,14.937619924545288,0.27170458323212093,0.9548217062874035,13.900113582611084,
25000,76.36966514587402,0.29499427232165193,0.9642639045078036,14.81626009941101,0.271216275144467,0.9545830378142239,13.81693148612976,
26000,76.49497532844543,0.29689643044825276,0.9645557969719555,14.905194997787476,0.27260669586934,0.9547253265940857,13.775070667266846,
27000,76.31836891174316,0.296984040459779,0.9645491513203996,14.813936948776245,0.2737856070636909,0.9548910377134688,13.829909086227417,
28000,75.96439623832703,0.29826868081911945,0.965170601070646,14.730729818344116,0.2750232534313085,0.9556305708855021,13.665272235870361,
29000,76.13262939453125,0.2987883207771649,0.9648242146666774,14.866862535476685,0.2740655630090684,0.955102267409563,13.88920283317566,
30000,76.51282978057861,0.29830316355709463,0.9650788639420468,15.014007091522217,0.27384338299593297,0.9553951011754197,13.91180944442749,
